year,imdb,title,test,clean_test,binary,budget,domgross,intgross,code,budget_2013,domgross_2013,intgross_2013,period_code,decade_code
2009,tt0409459,Watchmen,men-disagree,men,FAIL,138000000,107509799,184068357,2009FAIL,149830960,116726786,199848831,2,2
1999,tt0165643,Black and White,ok,ok,PASS,10000000,5241315,5241315,1999PASS,13984620,7329780,7329780,4,3
2004,tt0375063,Sideways,ok,ok,PASS,17000000,71502303,109874155,2004PASS,20964279,88176131,135496025,3,2
2005,tt0398712,Assault on Precinct 13,ok,ok,PASS,30000000,20040895,36040895,2005PASS,35790994,23909452,42997982,2,2
2013,tt1814621,Admission,ok,ok,PASS,13000000,18007317,18007317,2013PASS,13000000,18007317,18007317,1,1
2002,tt0258068,The Quiet American,men,men,FAIL,20000000,12987647,26348203,2002FAIL,25903584,16821330,34125645,3,2
2003,tt0287978,Daredevil,nowomen-disagree,nowomen,FAIL,80000000,102543518,182782518,2003FAIL,101286957,129829011,231418562,3,2
1991,tt0101452,Bill & Ted's Bogus Journey,notalk,notalk,FAIL,20000000,37537675,37537675,1991FAIL,34216807,64220970,64220970,5,3
2011,tt1253864,Immortals,men,men,FAIL,75000000,83504017,211562435,2011FAIL,77676809,86484341,219113265,1,1
2007,tt0367959,Hannibal Rising,notalk,notalk,FAIL,50000000,27669725,80583311,2007FAIL,56177174,31088139,90538854,2,2
2010,tt1386588,The Other Guys,nowomen-disagree,nowomen,FAIL,100000000,119219978,170936470,2010FAIL,106823184,127354577,182599780,1,1
2013,tt2002718,Machete Kills,ok,ok,PASS,2000000,8008161,9408161,2013PASS,2000000,8008161,9408161,1,1
2006,tt0429589,The Ant Bully,men,men,FAIL,45000000,28142535,49610898,2006FAIL,52010836,32527039,57340095,2,2
2007,tt0449088,Pirates of the Caribbean: At World's End,ok,ok,PASS,300000000,309420425,960996492,2007PASS,337063045,347647302,1079721346,2,2
2011,tt1192628,Rango,notalk-disagree,notalk,FAIL,135000000,123257581,245504574,2011FAIL,139818256,127656741,254266825,1,1
2006,tt0398913,DOA: Dead or Alive,ok,ok,PASS,30000000,480314,7756224,2006PASS,34673890,555145,8964615,2,2
1999,tt0122933,Analyze This,notalk,notalk,FAIL,30000000,106885658,176885658,1999FAIL,41953861,149475534,247367876,4,3
2009,tt1080016,Ice Age: Dawn of the Dinosaurs,notalk,notalk,FAIL,90000000,196573705,886968695,2009FAIL,97715844,213426283,963009937,2,2
2013,tt1979320,Rush,notalk,notalk,FAIL,38000000,26947624,43047624,2013FAIL,38000000,26947624,43047624,1,1
2009,tt0452694,The Time Traveler's Wife,dubious,dubious,FAIL,39000000,63414846,98666635,2009FAIL,42343532,68851502,107125483,2,2
2011,tt1422136,A Lonely Place to Die,ok,ok,PASS,4000000,NA,442550,2011PASS,4142763,NA,458345,1,1
2005,tt0382628,Dark Water,ok,ok,PASS,60000000,25473093,49473093,2005PASS,71581988,30390244,59023039,2,2
2008,tt0887883,Burn After Reading,notalk,notalk,FAIL,37000000,60355347,163415735,2008FAIL,40043484,65319955,176857711,2,2
2007,tt0481369,The Number 23,notalk,notalk,FAIL,32000000,35193167,77593167,2007FAIL,35953391,39541053,87179297,2,2
